timestamp,action,user,request_id,details,ip_address
2025-10-24 18:50:27,Data Refresh,Finance Manager,,User accessed system,192.168.1.177
2025-10-18 23:27:27,Login,Finance Manager,,User accessed system,192.168.1.50
2025-10-17 21:23:27,Data Refresh,Finance Manager,,User accessed system,192.168.1.166
2025-10-17 02:15:27,Decision: Approved,Current User,REQ-1010,"Email sent to vendor, payment extension granted",192.168.1.174
2025-10-14 23:20:27,View: Dashboard,Finance Manager,,User accessed Dashboard,192.168.1.104
2025-10-14 12:21:27,Decision: Rejected,Finance Manager,REQ-928,"Email sent to vendor, request denied",192.168.1.18
2025-10-14 10:07:27,View: Dashboard,Finance Manager,,User accessed Dashboard,192.168.1.117
2025-10-12 18:37:27,Export: CSV,Current User,,Downloaded decision history report,192.168.1.215
2025-10-12 14:42:27,Decision: Approved,Current User,REQ-957,"Email sent to vendor, payment extension granted",192.168.1.146
2025-10-11 05:26:27,Login,Current User,,User accessed system,192.168.1.46
2025-10-09 06:02:27,Decision: Rejected,Current User,REQ-948,"Email sent to vendor, request denied",192.168.1.67
2025-10-07 04:42:27,Export: CSV,Finance Manager,,Downloaded decision history report,192.168.1.51
2025-10-06 18:43:27,Export: CSV,Current User,,Downloaded decision history report,192.168.1.242
2025-10-06 04:51:27,Decision: Rejected,System Admin,REQ-1023,"Email sent to vendor, request denied",192.168.1.255
2025-10-05 06:53:27,Decision: Rejected,Finance Manager,REQ-945,"Email sent to vendor, request denied",192.168.1.189
2025-10-04 19:43:27,Decision: Approved,System Admin,REQ-901,"Email sent to vendor, payment extension granted",192.168.1.71
2025-10-04 12:58:27,Export: CSV,System Admin,,Downloaded decision history report,192.168.1.25
2025-10-01 23:13:27,Data Refresh,Finance Manager,,User accessed system,192.168.1.208
2025-10-01 14:11:27,Decision: Approved,Finance Manager,REQ-911,"Email sent to vendor, payment extension granted",192.168.1.246
2025-09-29 23:18:27,Export: CSV,System Admin,,Downloaded decision history report,192.168.1.19
2025-09-28 22:17:27,Export: CSV,Finance Manager,,Downloaded decision history report,192.168.1.210
2025-09-28 21:21:27,Login,System Admin,,User accessed system,192.168.1.236
2025-09-28 00:33:27,Login,Current User,,User accessed system,192.168.1.190
2025-09-27 22:58:27,Export: CSV,Current User,,Downloaded decision history report,192.168.1.3
2025-09-27 20:43:27,View: Dashboard,System Admin,,User accessed Dashboard,192.168.1.250
2025-10-24 22:08:29,Decision: Approved,Current User,REQ-1001,"Email sent to vendor, request approved",127.0.0.1
2025-10-24 22:08:35,Decision: Approved,Current User,REQ-1002,"Email sent to vendor, request approved",127.0.0.1
2025-10-24 22:08:41,Decision: Approved,Current User,REQ-1003,"Email sent to vendor, request approved",127.0.0.1
2025-10-24 22:08:46,Decision: Approved,Current User,REQ-1004,"Email sent to vendor, request approved",127.0.0.1
2025-10-24 22:19:32,Decision: Approved,Current User,REQ-1005,"Email sent to vendor, request approved",127.0.0.1
2025-10-24 22:19:35,Decision: Approved,Current User,REQ-1006,"Email sent to vendor, request approved",127.0.0.1
2025-10-24 22:23:27,Decision: Approved,Current User,REQ-1007,"Email sent to vendor, request approved",127.0.0.1
2025-10-24 22:23:30,Decision: Approved,Current User,REQ-1008,"Email sent to vendor, request approved",127.0.0.1
2025-10-24 22:24:01,Decision: Rejected,Current User,REQ-1009,"Email sent to vendor, request rejected",127.0.0.1
2025-10-24 22:24:06,Decision: Rejected,Current User,REQ-1010,"Email sent to vendor, request rejected",127.0.0.1
2025-10-24 22:24:38,Decision: Approved,Current User,REQ-1011,"Email sent to vendor, request approved",127.0.0.1
2025-10-24 22:24:42,Decision: Approved,Current User,REQ-1012,"Email sent to vendor, request approved",127.0.0.1
2025-10-24 22:24:45,Decision: Approved,Current User,REQ-1013,"Email sent to vendor, request approved",127.0.0.1
2025-10-24 22:24:48,Decision: Rejected,Current User,REQ-1014,"Email sent to vendor, request rejected",127.0.0.1
